Adresszusatz,Adresszusatz_2,Anmerkung2,Anmerkung_1,Beschreibung,Bestand,Di1_bis,Di1_von,Di_bis,Di_von,Dienstleistungen,Do1_bis,Do1_von,Do_bis,Do_von,Foto_Rechte,Foto_URL,Fr_bis,Fr_von,Hausnummer,Mi1_bis,Mi1_von,Mi_bis,Mi_von,Mo1_bis,Mo1_von,Mo_bis,Mo_von,Name,PLZ,Postfach,Sa_bis,Sa_von,So_bis,So_von,Stadt,Strasse,email,internet,lat,lon,oeffnungszeiten_besonders,telefax,telefon,telefon2
,,,,"Die Bibliothek der Stiftung Alfred-Wegener-Institut für Polar- und Meeresforschung in der Helmholtz-Gemeinschaft (AWI) ist eine Spezialbibliothek, die als Präsenzbibliothek in erster Linie der Informations- und Literaturversorgung der Mitarbeiter/-innen der Stiftung dient. Die Bibliothek befindet sich in Bremerhaven mit Zweigstellen auf Helgoland und in List/Sylt.","Die Bibliothek hat Ende 2010 einen Bestand von ca. 46.100 Monographien und etwa 1.500 laufende Regalmeter an Zeitschriftenbänden. Die Zahl der gekauften Zeitschriften beträgt 212, meist in rein elektronischer Form (e-only).",,,15,9,,,,15,9,,awi,13,9,26,,,15,9,,,15,9,Alfred-Wegener-Institut für Polar- und Meeresforschung - Bibliothek,27568,,,,,,Bremerhaven,Am alten Hafen,library@awi.de,www.awi.de/de/infrastruktur/bibliothek/,53.8712382390446,8.70850313990017,,0471 4831-1919,0471 4831-1276,
Haus der Bürgerschaft Bürgerschaftskanzlei Untergeschoss Börsenhof A,,,,"Versorgt die Abgeordneten, die Bürgerschaftskanzlei und die Bremische Verwaltung mit Fachinformationen, Recherchen und Auskünften zu parlamentarischen Vorgängen und Gesetzgebungsverfahren, Staats-, Verfassungs-, Parlaments-, Verwaltungsrecht und Politik. Öffentlich zugänglich.","27.000 Druckmedien, 80 Zeitschriften, 10 Zeitungen; Drucksachen und Plenarprotokolle der Bürgerschaft; Bundesgesetzblatt.",,,16,9,,,,16,9,,buergerschaft,14,9,20,,,16,9,,,16,9,Bremische Bürgerschaft -Bibliothek,28195,,,,,,Bremen,Am Markt,bibliothel@buergerschaft.bremen.de,,53.0756485745596,8.80712779023887,,0421 361-12428,0421 361-12381,
,,,,"Die Bibliothek des Deutschen Schiffahrtsmuseums, Forschungsinstitut der Leibniz-Gemeinschaft, hält für Wissenschaft, Forschung und für die allgemeine Öffentlichkeit Literatur und andere Informationsmedien zur deutschen Schifffahrtsgeschichte in ihren internationalen Verflechtungen bereit.","Ca. 85.000 Titel, 400 Zeitschriften und Periodika (ausgewertet). Die Bibliothek ist Präsenzbibliothek, aber der Fernleihe angeschlossen. Online-Kataloge, Online-Arbeitsplätze, Kopierer, Buchscanner, Lesegerät für Mikroformen.",16,13,12,9,,16,13,12,9,,deutsches_schiffahrtsmuseum,14,9,1,16,13,12,9,,,,,Deutsches Schiffahrtsmuseum -Bibliothek,27568,,,,,,Bremerhaven,Hans-Scharoun-Platz,bibliothek@dsm.museum,www.dsm.museum,53.5399385121931,8.57884051310994,,0471 48207-55,0471 48207-22,0471 48207-44
Universitätsallee | GW1 Raum A 2200 ,,,,"Auswahl, Bereitstellung und Vermittlung eines aktuellen Informations- und Literaturangebotes zu gewerkschaftspolitischen Fragen.",Neben seiner über 27.000 Titel umfassenden und im Internet recherchierbaren Datenbank DEGPOL verfügt das DEG über das größte deutschsprachige Archiv gewerkschaftlicher Zeitschriften und Einzelveröffentlichungen.,,,16,10,,,,16,10,Foto: Pressestelle Universität,,16,10,,,,16,10,,,16,10,Dokumentationszentrum für Europäische Gewerkschaftspublikationen (DEG),28359,Postfach 33 04 40,,,,,Bremen,,w.wiezoreck@deg.uni-bremen.de,www.deg.uni-bremen.de,53.1212751,8.7375236,und nach Vereinbarung ,0421 218-61750,0421 218-61747,
,,,,Die Bibliothek im Focke-Museum ist eine wissenschaftliche Spezialbibliothek. Der Präsenzbestand ist für alle interessierten Bürgerinnen und Bürger nach Voranmeldung frei zugänglich. - Online-Zugang zu unserem Bibliothekskatalog über den Regionalkatalog Land Bremen http://gso.gbv.de/xslt/DB=2.940/ . ,"Der Bestand umfasst 35.000 Bände und etwa 200 Zeitschriften im Abonnement. Spezialsammelgebiete: Bremische Geschichte (Bremensien), Firmengeschichte (speziell Bremen), Kunstgeschichte, Kunsthandwerk und -gestaltung, Schifffahrt, Fotografie, Museumskunde, Volkskunde.",,,17,9,,,,,,,focke_museum,14,9,240,,,14,9,,,,,Focke-Museum Bremn - Bibliothek,28213,,,,,,Bremen,Schwachhauser Heerstraße,bade@focke-museum.de,www.focke-museum.de,53.0925631,8.8645844,,0421 6996-0066,0421 6996-0036,
,,,,"Auswahl und Bereitstellung geistes- und sozialwissenschaftlicher Literatur aus und über Ost- und Ostmitteleuropa nach 1945/1953. Hauptsammelgebiete sind Zeitgeschichte, Politik, Soziologie, Ideengeschichte des 20. Jahrhunderts, Kunst- und Kulturgeschichte sowie Belletristik des heutigen Russland und anderer Nachfolgestaaten der UdSR, Polens und der Tschechischen und Slowakischen Republiken.","Präsenzbibliothek mit ca. 40.000 Bänden, Einführung in die Bibliotheksbenutzung, kostenloses Internet, WLAN für Studierende der Universität Bremen.",,,17,9,,,,17,9,,forschungsstelle_osteuropa,16,9,3,,,17,9,,,17,9,Forschungsstelle Osteuropa an der Universität Bremen -Bibliothek,28359,,,,,,Bremen,Klagenfurther Straße,fso@uni-bremen.de,www.forschungsstelle.uni-bremen.de,,,,0421 218-69607,0421 218-69600,
Haus Schütting,,,,Informationsversorgung der Mitarbeiter der Handelskammer und der Mitgliedfirmen in Bremen. Öffentlich zugänglich.,"55.000 Bände, 300 laufende Zeitungen und Zeitschriften. Historisch gewachsener Bestand seit dem 16. Jahrhundert. Themen: Handel, Außenhandel, Industrie, Recht, Politik, Bildung, Berufsbildung, Finanzen, Steuern, Verkehr, Seefahrt und Häfen, Gesellschaft, Arbeit und Soziales, Medien, Stadt- und Regionalplanung, Europafragen, Warenzeichen, Geschichte, Jahresberichte brem. Firmen, Bremensien. ",,,17,9,,,,17,9,,handelskammer,16,9,13,,,17,9,,,17,9,Handelskammer Bremen -Bibliothek,28195,,,,,,Bremen,Am Markt,gartelmann@handelskammer-bremen.de,www.handelskammer-bremen.de,53.0756485745596,8.80712779023887,,0421 3637-299,0421 3637-221,
,,,,"Sonderbibliothek für den gesamten niederdeutschen Sprachraum. Die Präsenzbibliothek des INS ist eine in ihrer Art einmalige Spezialsammlung, die Sprache und Kulur Norddeutschland seit Mitte des 19. Jahrhunderts dokumentiert. Zentraler Ort der Informationsvermittlung und Vernetzung im Rahmen zeitgemäßer Sprachförderung. ","Rund 25.000 Medieneinheiten (Bücher, Zeitschriften, Noten, Cds/Mcs, DVDs, Videos, CD-ROMs/DVD-ROMs). Der Buchbestand umfasst u.a. plattdeutsche Primärliteratur seit Mitte des 19. Jahrhunderts, darunter Anthologien, Volksliteratur, unveröffentliche Bühnen-, Funk- und Hörspielmanuskripte sowie eine umfangreiche Sammlung grauer Literatur (Vereinsschriften, Programmhefte etc.). Einführung in die Bibliotheksnutzung. Die vom INS herausgegebenen Schriften erscheinen im Verlag Schuster, Leer.",,,15,9,,,,15,9,"Foto: Victor Ströverm nordsign, Bremen",ins,15,9,41-43,,,15,9,,,15,9,Institut für niederdeutsche Sprache -Bibliothek,28195,,,,,,Bremen,Schnoor,ins@ins-bremen.de,www.ins-bremen.de,53.0728130734628,8.8096901803304,,0421 3379858,0421 324535,
,,,,"Wir bieten Ihnen Zugang zu Informationen und Dokumenten für Studium, Lehre, Forschung und Unterhaltung. Durch die Auswahl und Verbreitung unserer eigenen Sammlung und anderen Informationsprodukten soll die Kommunikation und Sensibilisierung mit der hispanischen Kultur im deutschen Raum gefördert werden. ","Materialien für den Sprachunterricht, hispanische Kunst, Philosophie, Sozialwissenschaft, Literatur, Musik, usw. Veranstaltungen auf Spanisch (z.B. literarischer Stammtisch, Filmforum, bibliographische Ausstellungen).",19,15,14,12,,19,15,14,12,,instituto_cervantes,14,10,124,19,15,14,12,19,15,14,12,Biblioteca Gonzalo Rojas - Instituto Cervantes Bremen,28209,,,,,,Bremen,Schwachhauser Ring,bibbre@cervantes.de,http://bremen.cervantes.es/de/bibliothek/bibliothek_gonzalo_rojas.shtm,53.0855490424024,8.84984648880304,,0421 3499964,0421 3403914,
"Universität GW1, Block A",,,,"Das ISL Informationszentrum- Bibliothek ist ein europaweit führendes Zentrum für Information und Dokumentation in der maritimen Wirtschaft und Logistik mit einem professionellen Serviceangebot über Branchen, Märkte und Unternehmen in den Wissensbereichen Schifffahrt, Schiffbau, Häfen- Verkehr, Transport, Logistik - Wirtschaft und Handel, wir bieten Beratung und Recherche, Literaturdatenbank ISL-SEABASE, Volltext-Service, Zugang zu elektronischen Zeitschriften und Katalogen.","Wissenschaftliche Spezialbibliothek mit einem Gesamtbestand von 125.000 Bänden, 750 laufend gehaltene Fachzeitschriften und Serien sowie elektronischen Medien. Kostenfreie Nutzung der Präsenzbibliothek mit Arbeitsplätzen und Online-Katalog SEABASE, ein Münzkopierer ist vorhanden. Die Literaturdatenbank ISL-SEABASE weist mehr als 100.000 Titel nach (www.isl.org/library).",,,16,9,,,,16,9,,isl,14,9,,,,16,9,,,16,9,Institut für Seeverkehrswirtschaft und Logistik- ISL Informationszentrum - Bibliothek,28359,,,,,,Bremen,Universitätsallee,infocenter@isl.org,www.isl.org,53.1059582233078,8.84640674555739,,0421 22096-62,0421 22096-44,0421 22096-46
